name,company,location,average_salary
"[(Ri Ben Ren Mu Ji )]  Ying Ye Ke Xian Dui Ying Zhe  - NATIVE JAPANESE - SALES MANAGER - No Requirement Of Education Or Age, Experience (1800USD Net Above ++)",Cong Ty Phat Trien Nhan Luc HRVALU,Vinh Phuc,42.2
[VietinBank Soc Son] - Tu Van Vien Tai Chinh Kenh Bancassurance,CONG TY TNHH MANULIFE (VIET NAM),Ha Noi,22.5
Giam Doc Tai Chinh - CFO - Thu Duc,CONG TY CP TAP DOAN DAU TU MIEN NAM,TP HCM,45.0
[Kien Giang] Chuyen Vien Tu Van Tai Chinh - Kenh Lien Ket Ngan Hang VietinBank,CONG TY TNHH MANULIFE (VIET NAM),Kien Giang,25.0
Korean Key Account - Senior Account Manager - Ha Noi - Korean Native (2300 ~ 3300$+) FRESHER,Cong Ty Phat Trien Nhan Luc HRVALU,Ha Noi,65.7
[Phu Tho] Chuyen Vien Tu Van Bao Hiem - Kenh Hop Tac Ngan Hang Vietinbank,CONG TY TNHH MANULIFE (VIET NAM),Phu Tho,20.0
"Tho Son Xe May (52 To Ky, Q.12, HCM)",CONG TY CP TAP DOAN DAU TU MIEN NAM,TP HCM,12.5
[Bac Ninh] - Chuyen Vien Tu Van Bao Hiem - Kenh Hop Tac Ngan Hang VietinBank,CONG TY TNHH MANULIFE (VIET NAM),Bac Ninh,17.0
Nhan Vien Kinh Doanh (Tieng Han - Ha Nam),CareerLink's Client,Ha Nam,17.5
Sale Assistant (English),CareerLink's Client,Ha Noi,10.0
Nhan Vien Ban Hang (Khong Yeu Cau Kinh Nghiem),CareerLink's Client,Ha Noi,8.5
Nhan Vien Ke Toan Ban Hang (Khong yeu cau kinh nghiem),CONG TY CP TAP DOAN DAU TU MIEN NAM,TP HCM,8.5
Nhan Vien Kinh Doanh O To Hyundai (Vinh Long),CONG TY CP TAP DOAN DAU TU MIEN NAM,Vinh Long,15.0
[(Ri Ben Ren Mu Ji )]  puresuJin Xing noShe Ji .Zhi Zuo Zhe  - NATIVE JAPANESE - Die Press Design and Manufacturer - No Requirement of Education or Age (1800 USD Net Above),Cong Ty Phat Trien Nhan Luc HRVALU,Vinh Phuc,42.2
NHAN VIEN XUAT NHAP KHAU/MUA HANG - TIENG ANH - CONG TY MOI THANH LAP - HUNG YEN (~15 TRIEU),Cong Ty Phat Trien Nhan Luc HRVALU,Hung Yen,15.0
Tho Sua Chua Xe May (Tan Phu - HCM),CONG TY CP TAP DOAN DAU TU MIEN NAM,TP HCM,12.5
"Lao Dong Pho Thong/ Ky Thuat Vien Sua Chua Xe May (52 To Ky, Q.12)",CONG TY CP TAP DOAN DAU TU MIEN NAM,TP HCM,12.5
[FPT TELECOM QUANG NAM] NHAN VIEN HA TANG FPT,FPT Telecom,Quang Nam,9.0
[TAY NINH] NHAN VIEN KINH DOANH O TO,CONG TY CP TAP DOAN DAU TU MIEN NAM,Tay Ninh,10.0
[TP TAY NINH-TAY NINH] NHAN VIEN TU VAN BAN HANG,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Tay Ninh,9.5
NHAN VIEN CHAM SOC KHACH HANG - UNG DUNG VE MAY BAY,VIETNAM CONCENTRIX SERVICES COMPANY LIMITED,TP HCM,12.5
Tech Support Level 1 - Sea Language,VIETNAM CONCENTRIX SERVICES COMPANY LIMITED,TP HCM,21.5
Nhan Vien Tu Van San Pham Dinh Duong (Sales Online),VIETNAM CONCENTRIX SERVICES COMPANY LIMITED,TP HCM,17.5
[VIEC LAM TIENG QUANG DONG_QUAN 11] TUYEN GAP 02 NHAN VIEN CHAM SOC KHACH HANG_TIENG QUANG DONG VA TIENG ANH,DIGI-TEXX VIETNAM LTD.,TP HCM,11.75
TRO LY CUA HANG,Cong Ty TNHH Thuan Le,TP HCM,10.5
[TP. Ha Long] Chuyen Vien Hoach Dinh Tai Chinh _ Kenh Lien Ket Ngan Hang MSB Quang Ninh,Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,Quang Ninh,16.0
NHAN VIEN PHONG THI NGHIEM,Cong Ty TNHH Xu Ly Chat Thai Cong Nghiep Va Tu Van Moi Truong Van Lang,TP HCM,10.0
[Quan Nam Tu Liem] Chuyen Vien Tu Van Tai Chinh Cap Cao - Kenh Hop Tac Ngan Hang MSB Tai Ha Noi,Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,Ha Noi,14.0
[Ha Tinh] Chuyen Vien Tu Van Tai Chinh  - Kenh Doi Tac Ngan Hang,Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,Ha Tinh,14.0
[Hue] Chuyen Vien Tu Van Tai Chinh Cap Cao | Kenh Doi Tac Ngan Hang,Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,Thua Thien - Hue,14.0
[MSB Tam Diep] Chuyen Vien Tu Van Tai Chinh Cap Cao - Kenh Hop Tac Ngan Hang Tai Ninh Binh,Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,Ninh Binh,14.0
[Quan Tan Binh/HCM] Chuyen Vien Hoach Dinh Tai Chinh_Kenh Bancassurance,Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,TP HCM,16.0
[Quan 5/HCM] Chuyen Vien Hoach Dinh Tai Chinh_Kenh Bancassurance,Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,TP HCM,16.0
[TP Bien Hoa - Dong Nai] Chuyen Vien Hoach Dinh Tai Chinh - Kenh Doi Tac Ngan Hang MSB,Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,Dong Nai,14.0
"Nhan Vien Tu Van Bao Hiem Kenh Ngan Hang| Lam Viec tai Cho Moi, An Giang| Luong 11- 21 trieu",Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,An Giang,16.0
[Thot Not - Can Tho] Chuyen Vien Tu Van Tai Chinh | Kenh Doi Tac Ngan Hang,Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,Can Tho,14.0
